ORDER_ID	MERCHCUSTID CUSTOMER_ID	ASIN	ORDER_DAY	SHIP_DAY	DELIVERY_DAY	ORDER_DAY_REFORMATED	SHIP_DAY_REFORMATED	SHIPDAYOFWEEK	ORDERDAYOFWEEK	SHIPWEEKOFYEAR	SHIPMONTH	MEDIA	GL	PRODUCTGROUPNO	GMS	PRMSLAD	ZIP_O	ZIP_D	SHIPMETHOD	CARRIER	WEIGHT	WIDTH	HEIGHT	LENGTH	DISTANCE	SPEEDCATEGORY	BUSDELIVERYDAYSC2D	BUSLPROMISEDDELIVERYDAYSC2D	BUSDELIVERYDAYSS2D	BUSLPROMISEDDELIVERYDAYSS2D	BUSEPROMISEDDELIVERYDAYSS2D	CALDELIVERYDAYSC2D	CALLPROMISEDDELIVERYDAYSC2D	CALDELIVERYDAYSS2D	CALLPROMISEDDELIVERYDAYSS2D	CALEPROMISEDDELIVERYDAYSS2D
112-0413445-3543435	13420825015	601688050	B0057MAGVE	14-DEC-15	14-DEC-15	19-DEC-15	12/14/2015	12/14/2015	2	2	51	12	N	Apparel	193	9.9	23-DEC-15	90640	37804	MERCHANT						1934	Standard	4	8	4	5	3	6	10	5	7	3
104-4565191-1129835	17029268505	2038171451	B00A6V3Z6E	01-APR-16	04-APR-16	09-APR-16	04/01/2016	04/04/2016	2	6	14	04	N	Beauty	194	22.51	13-APR-16	11205	98801	MERCHANT		.5291040284658	3.99999999592	1.599999998368	5.99999999388	2314	Standard	5	8	3	5	1	8	12	5	7	3
106-4001568-5623455	506018621	8546499305	B00PBK4FSM	29-NOV-15	29-NOV-15	11-DEC-15	11/29/2015	11/29/2015	1	1	48	11	N	Health & Personal Care	121	11.49	08-DEC-15	36316	75440	MERCHANT		.59999999949685	1.49999999847	1.49999999847	24.299999975214	590	Standard	9	6	9	4	2	12	9	12	7	3
105-1601817-2718660	21064207315	1052981260	B009PA6L5E	30-NOV-15	30-NOV-15	03-DEC-15	11/30/2015	11/30/2015	2	2	49	11	N	Home Improvement	60	14	09-DEC-15	91731	29073	MERCHANT		4.15	4.799999995104	4.699999995206	9.399999990412	2098	Standard	3	8	3	5	3	3	10	3	7	3
113-0976063-7581844	611071106	57376410	B00UVAHDBS	15-JAN-16	16-JAN-16	21-JAN-16	01/15/2016	01/16/2016	7	6	02	01	N	Health & Personal Care	121	34.87	27-JAN-16	89148	94087	MERCHANT		.15	3.799999996124	3.099999996838	5.799999994084	384	Standard	4	8	3	5	1	6	12	5	7	3
116-2861273-4308269	707973670	10428138715	B00Y6889PK	15-JUL-15	15-JUL-15	20-JUL-15	07/15/2015	07/15/2015	4	4	29	07	N	Shoes	309	119.3	24-JUL-15	34639	78389	MERCHANT		.65	7.99999999184	3.299999996634	8.599999991228	930	Standard	3	7	3	5	3	5	10	5	7	5
110-6120299-7221809	39869233905	427205846	B000C20Z3I	09-MAR-16	09-MAR-16	12-MAR-16	03/09/2016	03/09/2016	4	4	10	03	N	Beauty	194	73.89	18-MAR-16	90079	73065	MERCHANT		.8	2.599999997348	2.399999997552	5.99999999388	1175	Standard	2	7	2	5	3	3	10	3	7	5
113-2594161-2504259	723892030	445329670	B001T6OVPO	15-FEB-16	16-FEB-16	20-FEB-16	02/15/2016	02/16/2016	3	2	07	02	N	Kitchen	79	59.95	24-FEB-16	12065	55379	MERCHANT		4	14.9999999847	.99999999898	28.599999970828	990	Standard	4	7	4	5	3	5	9	4	7	3
002-7849140-1932232	971459511	1190346500	B004UKA3GM	19-MAR-16	21-MAR-16	25-MAR-16	03/19/2016	03/21/2016	2	7	12	03	N	Beauty	194	8.44	29-MAR-16	11040	39437	MERCHANT		.3	1.699999998266	1.699999998266	5.99999999388	1073	Standard	4	7	2	4	1	6	11	4	7	3
108-4137609-0432236	1814341460	378183780	0449244237	08-AUG-15	10-AUG-15	12-AUG-15	08/08/2015	08/10/2015	2	7	33	08	Y	Books	14	6.99	31-AUG-15	80113	02169	MERCHANT		.3	4.199999995716	.699999999286	6.799999993064	1770	Standard	2	15	0	14	2	4	23	2	20	4
113-8821022-5894623	8293015805	17566521205	B00P74KD4W	27-NOV-15	27-NOV-15	01-DEC-15	11/27/2015	11/27/2015	6	6	48	11	N	Beauty	194	8.99	10-DEC-15	08056	10504	MERCHANT						123	Standard	2	10	2	5	2	4	14	4	9	4
111-4681029-6301812	721168361	12327259705	0805496742	08-SEP-15	08-SEP-15	15-SEP-15	09/08/2015	09/08/2015	3	3	37	09	Y	Books	14	11.99	30-SEP-15	91104	30013	MERCHANT		.8	5.49999999439	.699999999286	8.099999991738	1951	Standard	5	18	5	15	4	7	23	7	20	6
106-3423903-7754662	282446187	499387721	B005SKY61Q	13-AUG-15	14-AUG-15	21-AUG-15	08/13/2015	08/14/2015	6	5	33	08	N	Biss	328	28.8	24-AUG-15	77019	35601	MERCHANT						595	Standard	6	8	5	5	3	8	12	7	7	5
103-3763232-8158607	19888287605	1209471651	B003VN9FRW	11-AUG-15	12-AUG-15	15-AUG-15	08/11/2015	08/12/2015	4	3	33	08	N	Beauty	194	16.02	20-AUG-15	11426	89521	MERCHANT		.05	1.899999998062	1.099999998878	1.899999998062	2405	Standard	3	8	3	5	3	4	10	3	7	5
114-4657814-6184257	1211426141	1525065041	B011AEJ70I	14-AUG-15	14-AUG-15	17-AUG-15	08/14/2015	08/14/2015	6	6	33	08	N	Luggage	198	34	25-AUG-15	90014	29720	MERCHANT		1.14999999903562	13.49999998623	3.299999996634	18.299999981334	2130	Standard	1	7	1	5	1	3	11	2	7	3
112-3096208-2147462	12027375715	317789757	B018GJQVUO	27-NOV-15	30-NOV-15	03-DEC-15	11/27/2015	11/30/2015	2	6	49	11	N	Home	201	25.98	09-DEC-15	34786	81006	MERCHANT		.54999999953878	10.299999989494	4.49999999541	13.99999998572	1479	Standard	4	8	1	5	1	6	12	3	7	3
110-9022849-5593053	1237532071	16595298705	4770021194	16-OCT-15	16-OCT-15	19-OCT-15	10/16/2015	10/16/2015	6	6	42	10	Y	Books	14	35.16	28-OCT-15	91733	98208	MERCHANT		1.25	7.299999992554	.899999999082	10.299999989494	982	Expedited	1	9	1	5	1	3	13	3	8	2
109-8913453-1205038	1263261270	1602751761	B00PUYQHLC	25-JUL-15	27-JUL-15	01-AUG-15	07/25/2015	07/27/2015	2	7	31	07	N	Apparel	193	9.59	04-AUG-15	60585	77459	MERCHANT		.35	7.1	1.4	7.8	934	Standard	4	6	3	4	1	7	10	5	7	3
113-9533788-0428217	23205805405	9545017715	B00NV1SBQA	26-JUL-15	27-JUL-15	30-JUL-15	07/26/2015	07/27/2015	2	1	31	07	N	Shoes	309	6.77	04-AUG-15	75229	90630	MERCHANT		.02204600118607	3.399999996532	1.199999998776	6.299999993574	1222	Standard	3	6	2	4	2	4	9	3	7	3
115-4790061-3561832	21719471705	18960832315	B004PT4ISC	29-JUL-15	30-JUL-15	01-AUG-15	07/29/2015	07/30/2015	5	4	31	07	N	Home	201	14.8	07-AUG-15	91362	89705	MERCHANT		1.05	8.899999990922	1.49999999847	10.699999989086	342	Standard	2	7	2	5	3	3	9	2	7	5
111-1445794-0093801	759755271	871660850	1400064163	28-DEC-15	29-DEC-15	02-JAN-16	12/28/2015	12/29/2015	3	2	53	12	Y	Books	14	4	20-JAN-16	97203	95669	MERCHANT		1.5	5.99999999388	1.599999998368	9.299999990514	502	Standard	4	18	4	16	5	5	23	4	21	7
113-8707692-5186603	149014007	172505921	B007Y8230G	18-AUG-15	19-AUG-15	21-AUG-15	08/18/2015	08/19/2015	4	3	34	08	N	Health & Personal Care	121	3.28	26-AUG-15	07110	10010	MERCHANT		.2	3.49999999643	.99999999898	5.49999999439	11	Standard	3	6	2	5	3	3	8	2	7	5
116-5606989-6791431	1275084611	1389094411	B00EWUNVFK	30-DEC-15	04-JAN-16	11-JAN-16	12/30/2015	01/04/2016	2	4	01	01	N	Home	201	10.22	18-JAN-16	49507	22193	MERCHANT		.02204600118607	4.49999999541	.199999999796	7.99999999184	526	Standard	8	14	5	7	4	12	19	7	11	6
116-8925266-0282628	13632748715	302947316	B00YO21FMC	01-APR-16	01-APR-16	05-APR-16	04/01/2016	04/01/2016	6	6	13	04	N	Home Improvement	60	127.92	12-APR-16	40209	29651	MERCHANT						297	Standard	2	8	2	5	1	4	12	4	7	3
103-1215340-7301842	29802066405	35082341605	B0017JT658	27-APR-16	27-APR-16	30-APR-16	04/27/2016	04/27/2016	4	4	17	04	N	Beauty	194	38.76	05-MAY-16	92684	90007	MERCHANT		.09999999991614	1.99999999796	1.399999998572	2.299999997654	24	Standard	2	6	2	5	3	3	8	3	7	5
002-3588055-2209051	406929830	306887987	0470542810	19-AUG-15	19-AUG-15	22-AUG-15	08/19/2015	08/19/2015	4	4	34	08	Y	Books	14	77.25	31-AUG-15	72211	80524	MERCHANT		2.8	7.1653543234	1.4960629906	10.0787401472	800	Expedited	2	9	2	7	2	3	13	3	10	4
114-1370522-6581827	45650481	1559472790	B00MATKAVS	03-DEC-15	04-DEC-15	11-DEC-15	12/03/2015	12/04/2015	6	5	49	12	N	Home	201	47.32	14-DEC-15	91706	32317	MERCHANT		4.44999999626827	16.49999998317	2.99999999694	16.99999998266	1985	Standard	6	7	5	5	3	8	11	7	7	5
105-9252771-1470624	998883500	1245611970	B00DZ3L4OU	15-MAR-16	16-MAR-16	22-MAR-16	03/15/2016	03/16/2016	4	3	11	03	N	Grocery	325	14.42	28-MAR-16	11735	54703	MERCHANT						956	Standard	5	10	4	5	3	7	14	6	7	5
105-6540669-1586619	1024557960	99159181	B00XF3JFNC	09-MAR-16	10-MAR-16	12-MAR-16	03/09/2016	03/10/2016	5	4	10	03	N	Home Improvement	60	8.75	18-MAR-16	33711	37853	MERCHANT		.7	2.362204722	1.574803148	2.755905509	567	Standard	2	7	2	5	3	3	9	2	7	5
103-7903309-8813018	6494510805	482858757	B00E9EQDFY	21-APR-16	25-APR-16	28-APR-16	04/21/2016	04/25/2016	2	5	17	04	N	Baby	75	11.79	02-MAY-16	11213	98029	MERCHANT		.03999999996646	4.249999995665	1.49999999847	4.3299999955834	2394	Standard	5	8	1	5	3	7	12	3	7	5
106-0765701-1994644	1223824191	9216255	B004PILT0I	13-JUL-15	14-JUL-15	17-JUL-15	07/13/2015	07/14/2015	3	2	29	07	N	Home Improvement	60	12.04	22-JUL-15	37129	01201	MERCHANT		.15	5.99999999388	.799999999184	7.599999992248	837	Standard	4	8	3	5	3	4	10	3	7	3
103-9052153-9350620	7897762405	840324546	B00LDTVFDI	16-APR-15	17-APR-15	20-APR-15	04/16/2015	04/17/2015	6	5	16	04	N	Home Improvement	60	21.12	29-APR-15	83837	33065	MERCHANT		.09999999991614	3.49999999643	3.49999999643	5.99999999388	2434	Standard	2	9	1	6	4	4	13	3	9	6
107-0980996-7051424	1639156940	19438772315	0517885905	14-APR-15	14-APR-15	20-APR-15	04/14/2015	04/14/2015	3	3	16	04	Y	Books	14	4	06-MAY-15	43635	61462	MERCHANT		.29999999974842	9.055118101	.2362204722	9.1338582584	372	Standard	4	17	4	15	4	6	22	6	20	6
108-1913687-4097029	889231840	775901466	B007BTTXOC	01-FEB-16	02-FEB-16	08-FEB-16	02/01/2016	02/02/2016	3	2	05	02	N	Health & Personal Care	121	8.99	24-FEB-16	30066	05661	MERCHANT		.69999999941299	9.899999989902	1.399999998572	15.199999984496	963	Standard	5	18	4	16	4	7	23	6	21	6
109-9168165-1565020	7090066505	240366	B00KIL0QO6	28-MAY-15	29-MAY-15	01-JUN-15	05/28/2015	05/29/2015	6	5	22	05	N	Home Improvement	60	5.5	08-JUN-15	97206	95030	MERCHANT						571	Standard	2	7	1	5	3	4	11	3	7	5
106-1661031-2080246	460616196	312882181	B00B8EM6CC	25-SEP-15	28-SEP-15	30-SEP-15	09/25/2015	09/28/2015	2	6	40	09	N	Home Improvement	60	38.95	05-OCT-15	37135	92081	MERCHANT		.25	6.799999993064	1.699999998266	7.799999992044	1744	Standard	3	6	1	5	1	5	10	2	7	3
107-4743551-4367464	203223176	25896511705	B003AA6E98	21-FEB-16	22-FEB-16	26-FEB-16	02/21/2016	02/22/2016	2	1	08	02	N	Toys	21	8.99	01-MAR-16	44128	40828	MERCHANT		1	6.099999993778	4.299999995614	6.899999992962	327	Standard	4	7	3	4	2	5	10	4	7	3
114-1860620-5801037	374986777	577194156	B0089MUOOS	26-APR-15	27-APR-15	02-MAY-15	04/26/2015	04/27/2015	2	1	18	04	N	Beauty	194	32.99	05-MAY-15	92121	78557	MERCHANT		.35	1.899999998062	1.099999998878	5.099999994798	1231	Standard	4	6	4	4	2	5	9	5	7	3
103-3843600-0174606	833478790	787003461	B004I69F94	15-FEB-16	16-FEB-16	19-FEB-16	02/15/2016	02/16/2016	3	2	07	02	N	Beauty	194	16.49	24-FEB-16	11713	33126	MERCHANT		.7495716908	3.3070866108	1.968503935	6.7716535364	1119	Standard	4	8	3	5	3	4	10	3	7	3
105-7906339-9366648	7730677615	38194246205	B017ZKMJOM	10-FEB-16	11-FEB-16	13-FEB-16	02/10/2016	02/11/2016	5	4	06	02	N	Home	201	39.99	19-FEB-16	98109	94559	MERCHANT						649	Standard	2	7	2	6	4	3	9	2	8	6
108-3426844-2945867	1677109421	1364129730	B002TAXVVY	05-APR-15	06-APR-15	08-APR-15	04/05/2015	04/06/2015	2	1	15	04	N	Pet Products	199	6.1	16-APR-15	11223	23669	MERCHANT		.2	3.399999996532	1.199999998776	8.399999991432	276	Standard	2	8	1	4	4	3	11	2	7	5
107-8431474-2576263	1746470861	1198470000	B001ZRQFP6	01-JAN-16	01-JAN-16	07-JAN-16	01/01/2016	01/01/2016	6	6	53	01	N	Toys	21	13.43	13-JAN-16	98506	08085	MERCHANT						2400	Expedited	4	8	4	5	1	6	12	6	8	2
109-3702591-2926603	1516696830	1794493100	B00BSVJCOA	27-JUL-15	28-JUL-15	30-JUL-15	07/27/2015	07/28/2015	3	2	31	07	N	Sports	200	4.01	05-AUG-15	46725	30755	MERCHANT						436	Standard	3	7	2	5	3	3	9	2	7	3
103-2272126-9461014	11189260305	13734981305	B00006IENX	13-SEP-15	14-SEP-15	17-SEP-15	09/13/2015	09/14/2015	2	1	38	09	N	Office Products	229	3.59	24-SEP-15	84604	50010	MERCHANT		.55	10.199999989596	.899999999082	11.599999988168	942	Standard	3	8	2	6	3	4	11	3	9	4
106-8338861-9701013	1459570950	673693306	0060753463	23-APR-15	23-APR-15	29-APR-15	04/23/2015	04/23/2015	5	5	17	04	Y	Books	14	14.8	15-MAY-15	66007	04074	MERCHANT		1	9.799999990004	.299999999694	11.49999998827	1306	Standard	4	17	4	13	4	6	23	6	18	6
105-8600907-7253022	77949811	1515614960	B00YPXHAII	30-AUG-15	01-SEP-15	04-SEP-15	08/30/2015	09/01/2015	3	1	36	09	N	Kitchen	79	24.99	09-SEP-15	21226	45152	MERCHANT		2.7006627095	15.1181102208	6.4173228281	21.1023621832	404	Standard	4	7	2	5	2	5	10	3	8	3
113-4358594-1133023	432003991	1405120940	B002NS0ZQQ	21-JUL-15	21-JUL-15	24-JUL-15	07/21/2015	07/21/2015	3	3	30	07	N	Furniture	196	76	27-JUL-15	30114	77030	MERCHANT		19	25	22	47	711	Expedited	3	5	3	3	1	3	7	3	5	1
102-0415552-1530614	564908281	1552175201	0736073744	23-JUN-15	24-JUN-15	29-JUN-15	06/23/2015	06/24/2015	4	3	26	06	Y	Books	14	39.89	16-JUL-15	43201	60048	MERCHANT		2.95	8.49999999133	1.199999998776	10.99999998878	302	Standard	4	18	3	16	4	6	23	5	21	6
111-7402552-5153036	245416970	549260821	B00F4ME2BW	22-JUN-15	22-JUN-15	25-JUN-15	06/22/2015	06/22/2015	2	2	26	06	N	Shoes	309	124.95	01-JUL-15	89118	49326	MERCHANT		2.4	10.99999998878	5.49999999439	15.299999984394	1656	Standard	3	8	3	5	3	3	10	3	7	3
111-2069573-1023400	983472106	26421940305	B00AV4DXEA	05-NOV-15	06-NOV-15	09-NOV-15	11/05/2015	11/06/2015	6	5	45	11	Y	Music	15	26.17	18-NOV-15	30096	28124	MERCHANT		.6172943336	7.086614166	.6299212592	7.086614166	234	Expedited	2	10	1	6	2	4	14	3	9	4
110-3071901-4348257	1231406091	16110081605	B00YHYFQFO	02-DEC-15	04-DEC-15	26-DEC-15	12/02/2015	12/04/2015	6	4	49	12	N	Home	201	18.45	17-DEC-15	43137	00623	MERCHANT		.19999999983228	.99999999898	.99999999898	23.99999997552	1778	Standard	18	12	17	7	4	24	15	22	10	6
103-1890156-5158642	167158131	1567369540	B004TBOHVE	06-JUN-15	08-JUN-15	12-JUN-15	06/06/2015	06/08/2015	2	7	24	06	N	Electronics	23	44.25	16-JUN-15	44060	30144	MERCHANT		5.00008410216	5.9842519624	2.5196850368	17.0078739984	558	Standard	4	6	2	4	1	6	10	4	7	3
116-4954630-7825058	1047637616	7928767	B009HD00KQ	05-MAY-15	06-MAY-15	09-MAY-15	05/05/2015	05/06/2015	4	3	19	05	N	Health & Personal Care	121	27.85	18-MAY-15	89011	61616	MERCHANT						1406	Standard	3	9	3	5	3	4	13	3	7	5
102-3387450-5694606	15359156405	16059532005	B00L8FLBVS	17-DEC-15	18-DEC-15	21-DEC-15	12/17/2015	12/18/2015	6	5	51	12	N	Automotive	263	29.22	31-DEC-15	91748	35603	MERCHANT						1761	Standard	2	10	1	6	4	4	14	3	10	6
115-7764383-4130605	683294220	1541495001	B00LCS069Y	28-NOV-15	30-NOV-15	07-DEC-15	11/28/2015	11/30/2015	2	7	49	11	N	Apparel	193	13.16	11-DEC-15	30144	83201	MERCHANT		.7	5.99999999388	2.099999997858	9.9999999898	1613	Standard	5	9	4	4	3	9	14	7	7	5
112-2903575-8961827	377703620	1433403540	B012PKP2VE	13-OCT-15	14-OCT-15	16-OCT-15	10/13/2015	10/14/2015	4	3	42	10	N	Wireless	107	13.99	22-OCT-15	92618	85224	MERCHANT		.11023000583794	3.543307083	.5905511805	7.480314953	339	Standard	3	7	2	5	3	3	9	2	7	5
103-8027823-1626646	2048250001	55552890	B00OLVGIDC	11-MAR-16	11-MAR-16	14-MAR-16	03/11/2016	03/11/2016	6	6	10	03	N	Automotive	263	79.25	22-MAR-16	34104	93277	MERCHANT		44.99999996226342	8.99999999082	6.99999999286	64.9999999337	2317	Standard	1	7	1	5	1	3	11	3	7	3
103-3006633-3249836	522672507	249872480	B0128W6PUQ	02-APR-16	04-APR-16	07-APR-16	04/02/2016	04/04/2016	2	7	14	04	N	Wireless	107	15.99	12-APR-16	90703	07719	MERCHANT		.02204600116759	3.899999996022	.799999999184	6.899999992962	2442	Standard	3	6	1	4	1	5	10	3	7	3
002-2985523-1581051	1316577661	1203938580	0310315506	20-APR-15	21-APR-15	29-APR-15	04/20/2015	04/21/2015	3	2	17	04	Y	Books	14	4.47	12-MAY-15	02347	98901	MERCHANT		.7	5.399999994492	1.099999998878	8.299999991534	2427	Standard	7	17	6	15	4	9	22	8	20	6
104-7055727-2701014	698183850	1085006250	B00E8J1CRY	01-SEP-15	02-SEP-15	09-SEP-15	09/01/2015	09/02/2015	4	3	36	09	N	Apparel	193	28	15-SEP-15	08854	33187	MERCHANT		.95	5.7	2.8	5.9	1091	Standard	6	10	5	5	4	8	14	7	7	6
109-6236906-3647464	1189612050	54497853	B002CZOK2A	11-SEP-15	14-SEP-15	18-SEP-15	09/11/2015	09/14/2015	2	6	38	09	N	Kitchen	79	32.99	22-SEP-15	02115	98221	MERCHANT		5.39999999547161	10.899999988882	4.899999995002	11.19999998857599	2490	Standard	5	7	2	5	1	7	11	4	7	3
109-6761753-7947418	1404515431	1185192411	B00EZVO7H2	09-AUG-15	10-AUG-15	15-AUG-15	08/09/2015	08/10/2015	2	1	33	08	N	Watches	241	19.99	18-AUG-15	78040	80109	MERCHANT		.02204600116759	1.799999998164	.599999999388	5.099999994798	877	Standard	4	6	4	4	2	6	9	5	7	3
116-5286829-7429067	77949811	467759386	B00WDW0P26	12-DEC-15	15-DEC-15	16-DEC-15	12/12/2015	12/15/2015	3	7	51	12	N	Sports	200	11.99	22-DEC-15	21226	02346	MERCHANT		.14999999987421	3.49999999643	1.99999999796	7.49999999235	351	Standard	2	7	0	4	1	4	11	1	7	3
105-5219407-5880223	1090919261	776991590	B00F06BFOE	20-NOV-15	23-NOV-15	28-NOV-15	11/20/2015	11/23/2015	2	6	48	11	N	Sports	200	6.65	04-DEC-15	43231	90504	MERCHANT		.4999999995807	8.99999999082	.799999999184	11.099999988678	1988	Standard	5	10	3	6	5	8	14	5	10	7
002-0506486-3635427	1135583770	1724291401	B00CQ9A1NO	29-DEC-15	30-DEC-15	04-JAN-16	12/29/2015	12/30/2015	4	3	53	12	N	Wireless	107	5.06	11-JAN-16	91748	85935	MERCHANT		.1	3.99999999592	.99999999898	7.49999999235	458	Standard	4	9	3	5	4	6	13	5	7	6
115-4664056-2267440	1994731071	1421220271	B007ZW3H6U	02-OCT-15	05-OCT-15	09-OCT-15	10/02/2015	10/05/2015	2	6	41	10	N	Office Products	229	403.98	16-OCT-15	78230	94949	MERCHANT		.59999999949684	5.09999999479799	3.249999996685	6.249999993625	1493	Standard	5	10	2	6	2	7	14	4	10	4
108-1272232-8209838	2023124090	1705643771	0811216691	30-OCT-15	31-OCT-15	07-NOV-15	10/30/2015	10/31/2015	7	6	44	10	Y	Books	14	6.22	24-NOV-15	46320	78757	MERCHANT		.500008410216	5.79921259251	.90157480223	8.90157479407	967	Standard	5	18	5	16	2	8	25	7	21	4
