ORDER_ID	MERCHCUSTID CUSTOMER_ID	ASIN	ORDER_DAY	SHIP_DAY	DELIVERY_DAY	ORDER_DAY_REFORMATED	SHIP_DAY_REFORMATED	SHIPDAYOFWEEK	ORDERDAYOFWEEK	SHIPWEEKOFYEAR	SHIPMONTH	MEDIA	GL	PRODUCTGROUPNO	GMS	PRMSLAD	ZIP_O	ZIP_D	SHIPMETHOD	CARRIER	WEIGHT	WIDTH	HEIGHT	LENGTH	DISTANCE	SPEEDCATEGORY	BUSDELIVERYDAYSC2D	BUSLPROMISEDDELIVERYDAYSC2D	BUSDELIVERYDAYSS2D	BUSLPROMISEDDELIVERYDAYSS2D	BUSEPROMISEDDELIVERYDAYSS2D	CALDELIVERYDAYSC2D	CALLPROMISEDDELIVERYDAYSC2D	CALDELIVERYDAYSS2D	CALLPROMISEDDELIVERYDAYSS2D	CALEPROMISEDDELIVERYDAYSS2D
113-6715178-9681806	1031777890	1304917691	B00FIX126K	23-JAN-16	25-JAN-16	27-JAN-16	01/23/2016	01/25/2016	2	7	04	01	N	Tools	469	6.03	03-FEB-16	33309	02145	MERCHANT		.02204600116759	1.99999999796	.199999999796	5.49999999439	1233	Standard	2	8	0	4	1	4	12	2	7	3
105-8242864-7230606	1101010950	290016740	B000TBKI34	14-APR-16	15-APR-16	18-APR-16	04/14/2016	04/15/2016	6	5	15	04	N	Beauty	194	13.47	25-APR-16	11367	06759	MERCHANT		.65	1.699999998266	1.699999998266	8.799999991024	78	Standard	2	8	1	5	3	4	12	3	7	5
112-8598177-1661061	8297624015	33946664005	B002PDOLP0	01-SEP-15	02-SEP-15	04-SEP-15	09/01/2015	09/02/2015	4	3	36	09	N	Shoes	309	26.19	16-SEP-15	19711	33174	MERCHANT		1.29999999890983	5.599999994288	5.099999994798	12.99999998674	1001	Standard	3	13	2	5	3	3	16	2	7	3
112-7718015-4091408	1981048451	1349504311	B006TK79C2	28-JUN-15	29-JUN-15	02-JUL-15	06/28/2015	06/29/2015	2	1	27	06	N	Health & Personal Care	121	15.7	07-JUL-15	32459	93401	MERCHANT		.2	1.49999999847	1.49999999847	4.899999995002	2020	Standard	3	6	2	5	2	4	9	3	8	3
111-7495745-2396263	910453136	161573587	0932666434	26-OCT-15	27-OCT-15	31-OCT-15	10/26/2015	10/27/2015	3	2	44	10	Y	Books	14	19.84	18-NOV-15	31206	44805	MERCHANT		1.7	7.399999992452	1.199999998776	10.49999998929	563	Standard	4	18	4	16	4	5	23	4	21	6
002-9162276-2596217	926176936	1216992411	B00SHK1EFK	25-AUG-15	26-AUG-15	01-SEP-15	08/25/2015	08/26/2015	4	3	35	08	N	Health & Personal Care	121	7.88	04-SEP-15	11749	29631	MERCHANT		.02204600118607	.99999999898	.99999999898	2.99999999694	675	Standard	5	8	4	5	3	7	10	6	7	5
109-0248675-6233068	8042943705	1145319150	B004JBYJRQ	26-FEB-16	29-FEB-16	03-MAR-16	02/26/2016	02/29/2016	2	6	09	02	N	Automotive	263	18.09	08-MAR-16	91710	07002	MERCHANT		.54674082895616	3.149606296	2.8740157451	6.692913379	2413	Standard	4	7	1	5	1	6	11	3	7	3
115-7491792-5359425	499330301	921899086	B00R8G5SCY	05-JUL-15	05-JUL-15	10-JUL-15	07/05/2015	07/05/2015	1	1	27	07	N	Beauty	194	19.97	14-JUL-15	33312	94571	MERCHANT		.55	5.49999999439	2.199999997756	7.799999992044	2549	Standard	4	7	4	4	2	6	10	5	7	3
107-2197289-6189803	544104291	7554156805	B00KXT5GB6	08-DEC-15	09-DEC-15	14-DEC-15	12/08/2015	12/09/2015	4	3	50	12	N	Home	201	50.99	17-DEC-15	94550	52002	MERCHANT		7.39999999379442	19.199999980416	12.299999987454	20.099999979498	1660	Standard	4	7	3	5	3	6	9	5	7	5
114-2987161-5219449	307841040	219764107	B00XDVA8Z0	14-JUL-15	15-JUL-15	24-JUL-15	07/14/2015	07/15/2015	4	3	29	07	N	Sports	200	16.98	05-AUG-15	08817	61604	MERCHANT			3	.1	12	800	Standard	8	18	7	15	4	10	23	9	20	6
107-3679905-9914608	1686482771	6772941215	B00G2VC2A2	07-APR-15	08-APR-15	15-APR-15	04/07/2015	04/08/2015	4	3	15	04	N	Apparel	193	18.03	16-APR-15	55317	85019	MERCHANT			7	.5	9	1263	Standard	6	7	5	5	3	8	9	7	7	5
103-1621587-5953829	438444596	177114826	B00N5UBQHS	22-SEP-15	22-SEP-15	23-SEP-15	09/22/2015	09/22/2015	3	3	39	09	N	Automotive	263	28.33	01-OCT-15	78613	98101	MERCHANT		1.153	7.249999992605	3.749999996175	8.99999999082	1756	Standard	1	8	1	5	3	1	10	1	7	5
113-8562908-6933838	24753138705	1247438141	B00IJ0F2RE	28-DEC-15	28-DEC-15	02-JAN-16	12/28/2015	12/28/2015	2	2	53	12	Y	Books	14	16.97	20-JAN-16	94110	23606	MERCHANT		.2	4.899999995002	.49999999949	5.49999999439	2495	Standard	4	19	4	16	5	5	24	5	21	7
114-2211299-3354662	112264271	891066510	B001B0ASBO	08-DEC-15	09-DEC-15	11-DEC-15	12/08/2015	12/09/2015	4	3	50	12	N	Office Products	229	13.18	17-DEC-15	77379	18444	MERCHANT		2.25	6.699999993166	2.99999999694	9.799999990004	1362	Standard	3	7	2	5	3	3	9	2	7	5
104-1274488-9011417	16320375405	9223372034595237231	B0184VD1FW	07-MAR-16	08-MAR-16	11-MAR-16	03/07/2016	03/08/2016	3	2	10	03	N	Wireless	107	11.89	16-MAR-16	11224	84047	MERCHANT						1974	Standard	4	8	3	5	3	4	10	3	7	3
002-8321216-9064269	879145576	13683284415	B010TM2AYM	26-APR-16	28-APR-16	03-MAY-16	04/26/2016	04/28/2016	5	3	17	04	N	Tires	293	35.9	05-MAY-16	33014	50501	MERCHANT		5	19	3	19	1389	Standard	5	7	3	5	3	7	9	5	7	5
107-3211917-6750664	994261056	2023750541	0529056801	29-MAR-16	30-MAR-16	04-APR-16	03/29/2016	03/30/2016	4	3	13	03	Y	Books	14	4.05	20-APR-16	89506	98501	MERCHANT						526	Standard	4	17	3	15	4	6	22	5	20	6
105-4573222-3181855	25339318005	55474541	B00CIXT1ZC	03-DEC-15	03-DEC-15	05-DEC-15	12/03/2015	12/03/2015	5	5	49	12	N	Home	201	7.99	16-DEC-15	92316	92014	MERCHANT		.7	5.99999999388	1.99999999796	5.99999999388	76	Standard	1	9	1	6	4	2	13	2	9	6
002-6988864-7885834	2056296000	887274171	B01AZXE6KQ	08-APR-16	11-APR-16	13-APR-16	04/08/2016	04/11/2016	2	6	15	04	N	Automotive	263	60.98	18-APR-16	77450	47441	MERCHANT		6	6	6	36	808	Standard	3	6	1	5	1	5	10	2	7	3
110-1344820-5370602	17869238305	556663610	B00EA5AB9G	07-MAR-16	07-MAR-16	10-MAR-16	03/07/2016	03/07/2016	2	2	10	03	N	Beauty	194	7.23	16-MAR-16	98001	02771	MERCHANT		.09999999991614	3.199999996736	1.199999998776	101.49999989647	2492	Standard	3	8	3	5	3	3	10	3	7	3
114-2211527-2760201	12226981415	1818596681	B00WQWCRI8	11-FEB-16	12-FEB-16	16-FEB-16	02/11/2016	02/12/2016	6	5	06	02	N	Wireless	107	9.9	23-FEB-16	11352	01845	MERCHANT		.02204600116759	3.99999999592	.699999999286	8.99999999082	193	Standard	3	8	2	5	4	5	12	4	7	6
109-7087512-8821844	885270256	1324313031	B001Z0WELC	23-MAR-16	23-MAR-16	26-MAR-16	03/23/2016	03/23/2016	4	4	12	03	N	Tools	469	14.25	01-APR-16	91710	22101	MERCHANT		4.1	10.49999998929	3.299999996634	11.49999998827	2259	Standard	2	7	2	5	3	3	10	3	7	5
106-8015585-9119465	1369840501	360597230	B00BDHV4RC	20-MAR-16	21-MAR-16	29-MAR-16	03/20/2016	03/21/2016	2	1	12	03	N	Home Improvement	60	28.99	28-MAR-16	11714	28704	MERCHANT		.4	2.99999999694	2.899999997042	5.199999994696	614	Standard	6	6	5	4	2	9	9	8	7	3
105-3073630-9239449	77949811	196963140	B008A45GUW	06-MAY-15	07-MAY-15	12-MAY-15	05/06/2015	05/07/2015	5	4	19	05	N	Sports	200	16.98	15-MAY-15	21226	75098	MERCHANT		.22046001186075	5.5905511754	1.3385826758	7.87401574	1192	Standard	4	7	3	5	3	6	10	5	7	5
114-5549124-2903438	556483406	1342738100	0761845720	21-JAN-16	22-JAN-16	29-JAN-16	01/21/2016	01/22/2016	6	5	03	01	Y	Books	14	11.99	12-FEB-16	20706	73034	MERCHANT		.4	5.9842519624	.393700787	8.8188976288	1150	Standard	6	17	5	13	4	8	23	7	18	6
112-7717059-9339451	154058991	861780016	B0106RI8IM	23-JUL-15	23-JUL-15	27-JUL-15	07/23/2015	07/23/2015	5	5	30	07	Y	Books	14	21.98	03-AUG-15	90049	33762	MERCHANT		1.19999999899369	8.399999991432	.399999999592	10.799999988984	2154	Standard	2	7	2	5	3	4	11	4	7	5
114-5581536-7386646	1161406801	559576546	B019243JFC	25-JAN-16	27-JAN-16	06-FEB-16	01/25/2016	01/27/2016	4	2	04	01	N	Apparel	193	14.99	03-FEB-16	07601	10463	MERCHANT		.29999999974842	8.99999999082	1.699999998266	9.9999999898	7	Standard	9	7	8	5	3	12	9	10	7	3
106-0455180-8964205	17838339115	7331466505	B0044T6CZK	08-DEC-15	09-DEC-15	17-DEC-15	12/08/2015	12/09/2015	4	3	50	12	N	Toys	21	51.44	21-DEC-15	15235	32708	MERCHANT		3.49999999706493	9.49999999031	8.49999999133	15.99999998368	818	Standard	7	9	6	8	4	9	13	8	11	6
111-3938513-6579421	1229035411	1711255980	B000092M1T	15-DEC-15	16-DEC-15	18-DEC-15	12/15/2015	12/16/2015	4	3	51	12	N	Camera	421	1146.95	18-DEC-15	08817	92625	MERCHANT		1.45	6.6	6.5	8.1	2420	SecondDay	3	3	2	2	2	3	3	2	2	2
113-8228795-8991447	1394226441	56483213	B00DBV28TG	16-MAR-16	16-MAR-16	19-MAR-16	03/16/2016	03/16/2016	4	4	11	03	N	PC	147	31.95	25-MAR-16	77099	91214	MERCHANT		.75	6.299999993574	1.299999998674	6.99999999286	1363	Standard	2	7	2	5	3	3	10	3	7	5
102-2757281-8592230	763681561	83467316	B003UTEE32	22-OCT-15	23-OCT-15	26-OCT-15	10/22/2015	10/23/2015	6	5	43	10	N	Beauty	194	7.94	02-NOV-15	92708	57501	MERCHANT		.09999999991614	1.749999998215	1.749999998215	3.249999996685	1205	Standard	2	7	1	5	3	4	11	3	7	5
109-2439245-8608215	1000088361	646490901	B0017QNBFC	03-SEP-15	04-SEP-15	11-SEP-15	09/03/2015	09/04/2015	6	5	36	09	N	Apparel	193	8.1	15-SEP-15	35209	89147	MERCHANT		.2	4.699999995206	3.99999999592	7.199999992656	1621	Standard	6	9	5	5	4	9	13	7	7	6
116-8333986-3862666	1689351601	7238414205	B00NH6BSEG	11-FEB-16	12-FEB-16	16-FEB-16	02/11/2016	02/12/2016	6	5	06	02	N	Apparel	193	19.99	23-FEB-16	92833	95678	MERCHANT		.8	9.399999990412	1.99999999796	14.799999984904	385	Standard	3	9	2	5	4	5	13	4	7	6
108-3959122-2681061	267695720	351786107	B00UBFXSYE	28-SEP-15	29-SEP-15	01-OCT-15	09/28/2015	09/29/2015	3	2	40	09	N	Automotive	263	69.57	06-OCT-15	24540	70737	MERCHANT		11.2	20.35	10.5	20.35	796	Standard	3	6	2	5	3	3	8	2	7	3
113-1161170-1522635	1231406091	207441987	B00K58VYXY	11-DEC-15	12-DEC-15	19-DEC-15	12/11/2015	12/12/2015	7	6	50	12	N	Apparel	193	14	23-DEC-15	43137	44314	MERCHANT		.5	4.3	2.5	8.1	113	Standard	5	9	5	5	1	8	13	7	7	3
115-5405233-7281047	419351236	814009370	B00WPZK5A8	09-DEC-15	09-DEC-15	12-DEC-15	12/09/2015	12/09/2015	4	4	50	12	N	Musical Instruments	267	29.97	18-DEC-15	55122	53949	MERCHANT		1.09999999907755	4.399999995512	4.399999995512	4.799999995104	204	Standard	2	7	2	5	3	3	9	3	7	5
116-0533454-5361039	17715338	2063058810	B00104W8T6	06-JAN-16	08-JAN-16	11-JAN-16	01/06/2016	01/08/2016	6	4	01	01	Y	Music	15	9.68	28-JAN-16	43123	99577	MERCHANT		.2	4.899999995002	.399999999592	5.599999994288	3089	Standard	3	17	2	15	4	5	22	3	20	6
110-5521760-4581049	28975541	372122040	B001D7FYCI	01-FEB-16	02-FEB-16	09-FEB-16	02/01/2016	02/02/2016	3	2	05	02	N	Outdoors	468	23.55	10-FEB-16	68818	80206	MERCHANT		7.15	9.9999999898	9.9999999898	11.99999998776	373	Standard	6	8	5	5	3	8	10	7	7	3
107-0679199-6885805	59649761	1108964656	0590285432	13-APR-15	13-APR-15	20-APR-15	04/13/2015	04/13/2015	2	2	16	04	Y	Books	14	11.94	05-MAY-15	74338	10468	MERCHANT		1.15	5.399999994492	1.799999998164	7.699999992146	1165	Standard	5	18	5	15	4	7	23	7	20	6
113-4182155-2659435	7041796515	1009118076	B01CCEPQD2	23-MAR-16	24-MAR-16	26-MAR-16	03/23/2016	03/24/2016	5	4	12	03	N	Apparel	193	19.9	01-APR-16	90058	70601	MERCHANT		.34999999970649	10.49999998929	1.599999998368	11.599999988168	1482	Standard	2	7	2	5	3	3	9	2	7	5
108-4785697-5342625	1851611331	294560266	B00C67EIL2	10-JUL-15	10-JUL-15	16-JUL-15	07/10/2015	07/10/2015	6	6	28	07	N	Beauty	194	3.97	21-JUL-15	90210	72401	MERCHANT		.02204600118607	.599999999388	.49999999949	3.299999996634	1573	Standard	4	7	4	5	1	6	11	6	7	3
107-0885015-7189822	486786576	9137650705	B00C6IVIMS	20-JAN-16	21-JAN-16	27-JAN-16	01/20/2016	01/21/2016	5	4	03	01	N	Health & Personal Care	121	6.99	29-JAN-16	33009	43201	MERCHANT		.19999999983228	4.599999995308	.99999999898	5.799999994084	983	Standard	5	7	4	5	3	7	9	6	7	5
108-0274927-6545807	92867741	426865136	B001ICVQGQ	21-AUG-15	25-AUG-15	28-AUG-15	08/21/2015	08/25/2015	3	6	35	08	N	Home	201	16.92	04-SEP-15	60647	11367	MERCHANT		.14999999987421	7.899999991942	.899999999082	15.699999983986	724	Standard	5	11	1	5	4	7	15	3	9	6
110-1550404-5153042	16119708105	329824580	B00FAVCE4O	04-APR-15	06-APR-15	13-APR-15	04/04/2015	04/06/2015	2	7	15	04	N	Apparel	193	7.08	14-APR-15	90745	49203	MERCHANT		.4	6.399999993472	1.399999998572	6.49999999337	1919	Standard	5	6	4	4	1	9	10	7	7	3
111-9990123-7907452	469526647	13620458215	B00P9JRYGA	31-MAY-15	01-JUN-15	06-JUN-15	05/31/2015	06/01/2015	2	1	23	06	N	Home	201	4.98	12-JUN-15	10553	80235	MERCHANT						1643	Standard	4	9	4	4	4	6	12	5	7	5
105-2669263-9732229	12620028915	170189082	B004O9EPEK	28-NOV-15	30-NOV-15	01-DEC-15	11/28/2015	11/30/2015	2	7	49	11	N	Health & Personal Care	121	22.41	08-DEC-15	68116	33613	MERCHANT		5.6438339072	11.7322834526	6.7716535364	16.141732267	1198	Standard	1	7	0	4	1	3	11	1	7	3
116-3741113-0834646	1157968846	1160256400	B000VBAEQ8	16-AUG-15	17-AUG-15	19-AUG-15	08/16/2015	08/17/2015	2	1	34	08	N	Automotive	263	100.3	24-AUG-15	43607	33331	MERCHANT		6.1	24.49999997501	4.299999995614	30.49999996889	1093	Standard	2	6	1	4	2	3	9	2	7	3
114-4749416-8602608	1250585141	367514037	B016L0I6X0	24-OCT-15	26-OCT-15	30-OCT-15	10/24/2015	10/26/2015	2	7	44	10	N	Apparel	193	20.94	05-NOV-15	60915	07102	MERCHANT		.4999999995807	9.599999990208	1.699999998266	11.599999988168	715	Standard	4	9	2	5	2	6	13	4	9	4
104-5954593-6993026	17995955515	839277966	0316252085	01-OCT-15	02-OCT-15	06-OCT-15	10/01/2015	10/02/2015	6	5	40	10	Y	Books	14	14.98	26-OCT-15	90004	85295	MERCHANT		1.1	5.99999999388	.799999999184	9.299999990514	381	Standard	3	19	2	16	4	5	26	4	21	6
111-8780531-6006616	16508730805	1084936571	B000FY213K	21-NOV-15	21-NOV-15	25-NOV-15	11/21/2015	11/21/2015	7	7	47	11	N	Lawn and Garden	86	10.13	01-DEC-15	46011	84088	MERCHANT		.7936560426987	3.4645669256	1.968503935	6.6141732216	1375	Standard	2	6	2	4	2	4	10	4	8	4
112-2375797-0527425	126444777	80108992	B00BOJMOI2	28-APR-16	28-APR-16	02-MAY-16	04/28/2016	04/28/2016	5	5	17	04	N	PC	147	73.87	09-MAY-16	03801	01906	MERCHANT		1.15	5.299999994594	1.99999999796	11.699999988066	43	Standard	2	8	2	5	3	4	12	4	7	5
115-7763607-7693018	609054890	16954670515	B014VDVWLW	19-FEB-16	22-FEB-16	29-FEB-16	02/19/2016	02/22/2016	2	6	08	02	N	Luggage	198	175.98	01-MAR-16	46168	79901	MERCHANT		11	18	9	28	1249	Standard	6	7	5	5	1	10	11	7	7	3
111-5473854-0212237	7098142015	7788870415	B00HFY90YG	16-MAR-16	17-MAR-16	19-MAR-16	03/16/2016	03/17/2016	5	4	11	03	N	Shoes	309	179.95	25-MAR-16	97086	85379	MERCHANT		3.6	10.99999998878	5.199999994696	13.49999998623	980	Standard	2	7	2	5	3	3	9	2	7	5
106-6241765-0447425	1876366281	632529001	B001EJMS6K	19-APR-15	20-APR-15	24-APR-15	04/19/2015	04/20/2015	2	1	17	04	N	Sports	200	28.98	11-MAY-15	91789	60647	MERCHANT		5.35061909874	7.7559055039	3.2677165321	19.9999999796	1721	Standard	4	15	3	14	3	5	22	4	20	4
108-3357139-9119457	482467601	702494951	B002RT09E4	03-SEP-15	03-SEP-15	08-SEP-15	09/03/2015	09/03/2015	5	5	36	09	N	Beauty	194	6.13	14-SEP-15	92673	80016	MERCHANT		.1	2.699999997246	2.49999999745	3.699999996226	832	Standard	3	7	3	6	4	5	11	5	10	6
115-9741967-8640252	21289812015	1523136780	B0035OQGA6	11-MAR-16	11-MAR-16	18-MAR-16	03/11/2016	03/11/2016	6	6	10	03	N	Office Products	229	2.8	25-MAR-16	75039	78624	MERCHANT		.25	2.399999997552	1.299999998674	4.799999995104	214	Standard	5	10	5	6	2	7	14	7	10	4
114-4447822-2170637	1639156940	8399816405	0321512944	19-SEP-15	20-SEP-15	29-SEP-15	09/19/2015	09/20/2015	1	7	38	09	Y	Books	14	63.96	13-OCT-15	43635	89084	MERCHANT		3	8.1102362122	1.4960629906	10.0787401472	1728	Standard	6	17	5	14	2	10	25	9	21	4
115-5837516-8609814	1661099291	8442597705	1111533164	22-JAN-16	26-JAN-16	02-FEB-16	01/22/2016	01/26/2016	3	6	04	01	Y	Books	14	26.89	03-FEB-16	37013	94403	MERCHANT		2.85	8.699999991126	1.099999998878	10.899999988882	1966	Expedited	7	8	5	5	1	11	12	7	8	2
105-7177349-1614669	1718365111	23437533205	B00U39IFL4	07-JUL-15	08-JUL-15	13-JUL-15	07/07/2015	07/08/2015	4	3	28	07	N	Apparel	193	15.49	16-JUL-15	11217	95020	MERCHANT		1				2543	Standard	4	7	3	5	3	6	9	5	7	5
107-5824331-1457856	6748059915	141835467	B00DMJO8CC	25-APR-16	26-APR-16	02-MAY-16	04/25/2016	04/26/2016	3	2	17	04	N	Outdoors	468	263.99	04-MAY-16	85714	60073	MERCHANT		30	22.99999997654	6.49999999337	30.49999996889	1433	Standard	5	8	4	5	3	7	10	6	7	3
102-4323621-5345858	10880796515	599662621	B01971ZX8G	09-JAN-16	10-JAN-16	15-JAN-16	01/09/2016	01/10/2016	1	7	01	01	N	Grocery	325	86.2	20-JAN-16	11204	73116	MERCHANT		4.3999999963102	10.399999989392	6.799999993064	14.199999985516	1325	Standard	4	8	3	4	1	6	12	5	8	3
103-0621749-8823466	544104291	1049577296	B00OREWXXW	28-JAN-16	28-JAN-16	04-FEB-16	01/28/2016	01/28/2016	5	5	04	01	N	Home	201	22.61	08-FEB-16	94550	48230	MERCHANT						2061	Standard	5	7	5	5	3	7	11	7	7	5
104-4234799-9076225	1810124640	1251790831	B009QDH2W6	11-APR-16	12-APR-16	14-APR-16	04/11/2016	04/12/2016	3	2	15	04	N	Home Improvement	60	14.43	20-APR-16	76021	64081	MERCHANT		.24912235606	1.8897637776	.9055118101	3.1889763747	446	Standard	3	8	2	5	3	3	10	2	7	3
113-5896838-5898635	1597812921	8251556005	0915145375	30-MAR-16	31-MAR-16	04-APR-16	03/30/2016	03/31/2016	5	4	13	03	Y	Books	14	8.33	11-APR-16	63146	60201	MERCHANT		.9700119065738	5.3543307032	.8661417314	8.267716527	273	Expedited	3	8	2	7	2	5	12	4	10	4
115-8641236-1193840	11824173505	454087391	B000KL3WJU	04-MAR-16	04-MAR-16	07-MAR-16	03/04/2016	03/04/2016	6	6	09	03	N	Automotive	263	4.9	16-MAR-16	46268	33602	MERCHANT		.1	3.49999999643	.099999999898	11.299999988474	854	Standard	1	9	1	5	2	3	13	3	9	4
107-6866321-9601868	2834320	8471601905	0307947432	27-JUL-15	28-JUL-15	04-AUG-15	07/27/2015	07/28/2015	3	2	31	07	Y	Books	14	7.21	18-AUG-15	45212	77008	MERCHANT		.65	5.099999994798	.899999999082	7.899999991942	898	Standard	6	17	5	15	4	8	22	7	20	6
102-3670923-7533062	287971826	40005383005	B005IY3CYE	06-APR-16	07-APR-16	09-APR-16	04/06/2016	04/07/2016	5	4	14	04	N	Sports	200	17.8	15-APR-16	32359	78247	MERCHANT		.35	3.599999996328	1.49999999847	6.299999993574	906	Standard	2	7	2	5	3	3	9	2	7	5
115-2291233-0330615	15899217215	42082159305	B01DW8M8IS	27-APR-16	28-APR-16	30-APR-16	04/27/2016	04/28/2016	5	4	17	04	N	Wireless	107	8.99	06-MAY-16	11215	23938	MERCHANT		.02204600116759	3.099999996838	2.599999997348	5.099999994798	339	Standard	2	7	2	5	3	2	9	2	7	5
109-3815700-8659412	1127843590	14784799205	B003YMQSMA	27-DEC-15	29-DEC-15	02-JAN-16	12/27/2015	12/29/2015	3	1	53	12	N	Home	201	18.98	07-JAN-16	96761	76708	MERCHANT		.81	6	2	9	3713	Standard	4	9	3	5	4	6	12	4	8	6
112-3034427-3333836	637359360	1245608810	1604692200	18-DEC-15	19-DEC-15	29-DEC-15	12/18/2015	12/19/2015	7	6	51	12	Y	Books	14	5.47	14-JAN-16	11803	93534	MERCHANT		.35	5.99999999388	.599999999388	8.899999990922	2450	Standard	6	20	6	16	5	10	27	10	22	7
112-9731852-7464213	79632251	1005811411	B014L8UFVK	27-MAR-16	30-MAR-16	01-APR-16	03/27/2016	03/30/2016	4	1	13	03	N	Apparel	193	21.74	08-APR-16	11230	28277	MERCHANT		.24999999979035	6.099999993778	.899999999082	10.099999989698	537	Standard	4	9	1	4	4	5	12	2	7	5
116-1261711-8069803	1368720061	220071476	B0080ML180	06-APR-15	06-APR-15	11-APR-15	04/06/2015	04/06/2015	2	2	15	04	N	Office Products	229	23.48	15-APR-15	07606	60615	MERCHANT		.04999999995807	4.399999995512	2.399999997552	4.9999999949	706	Standard	4	8	4	5	3	5	10	5	7	3
113-4938110-8196248	88277007	72813340	B0015T511S	19-APR-15	20-APR-15	25-APR-15	04/19/2015	04/20/2015	2	1	17	04	N	Home	201	16.48	01-MAY-15	08088	32128	MERCHANT		.3	1.399999998572	.99999999898	26.49999997297	826	Standard	4	9	4	4	4	6	13	5	7	5
109-3813352-3129054	14729545315	1039601150	B016PYH1WO	23-JAN-16	23-JAN-16	01-FEB-16	01/23/2016	01/23/2016	7	7	03	01	N	Apparel	193	35.29	02-FEB-16	92821	21231	MERCHANT		1.14999999903562	11.199999988576	4.299999995614	13.299999986434	2301	Standard	5	7	5	4	1	9	11	9	7	3
114-7309679-8673837	1710943190	1202874876	0840029160	20-JAN-16	21-JAN-16	25-JAN-16	01/20/2016	01/21/2016	5	4	03	01	Y	Books	14	136.22	01-FEB-16	29072	95307	MERCHANT		1.95	6.299999993574	1.199999998776	9.099999990718	2223	Expedited	3	8	2	7	2	5	12	4	10	4
103-7549250-7017867	12953904705	7270895505	B002OG45CM	10-SEP-15	10-SEP-15	14-SEP-15	09/10/2015	09/10/2015	5	5	37	09	N	Home	201	5.09	21-SEP-15	28117	78124	MERCHANT		.15	.99999999898	.99999999898	15.99999998368	1086	Standard	2	8	2	5	3	4	12	4	7	5
002-0646726-7015454	1090039790	15076106205	B00R0I4KDS	29-OCT-15	30-OCT-15	04-NOV-15	10/29/2015	10/30/2015	6	5	44	10	N	Wireless	107	7.96	09-NOV-15	07643	32606	MERCHANT		.02204600118607	2.599999997348	.199999999796	5.199999994696	904	Standard	4	7	3	5	3	6	11	5	7	5
116-9647669-5031434	77577410	460648181	1586402056	08-DEC-15	09-DEC-15	12-DEC-15	12/08/2015	12/09/2015	4	3	50	12	Y	Books	14	61.72	31-DEC-15	29501	30655	MERCHANT		2.3500395280152	6.59842519012	1.40157480172	9.20078739219	224	Standard	3	18	3	16	4	4	23	3	21	6
109-5389800-9763436	1203110236	776881920	B00CJ2HS0W	09-NOV-15	10-NOV-15	13-NOV-15	11/09/2015	11/10/2015	3	2	46	11	N	Health & Personal Care	121	21.98	19-NOV-15	06106	60475	MERCHANT						772	Standard	4	8	3	5	4	4	10	3	7	6
112-4591182-0449022	62327782	515510020	B0041CZK0S	09-APR-15	10-APR-15	13-APR-15	04/09/2015	04/10/2015	6	5	15	04	N	Health & Personal Care	121	24.25	20-APR-15	46220	20112	MERCHANT		.34999999999999	4.9999999949	4.599999995308	6.299999993574	471	Standard	2	7	1	5	3	4	11	3	7	5
106-4260110-4469861	1250585141	21284152415	B00S8IN5MG	24-FEB-16	25-FEB-16	29-FEB-16	02/24/2016	02/25/2016	5	4	08	02	N	Apparel	193	21.94	04-MAR-16	60915	15050	MERCHANT		.34999999970649	8.199999991636	1.99999999796	11.699999988066	391	Standard	2	7	2	5	3	4	9	4	7	5
105-5212211-3414621	1212612100	16764183705	B00EP8A6Y8	17-JAN-16	20-JAN-16	21-JAN-16	01/17/2016	01/20/2016	4	1	03	01	N	Tools	469	174.43	28-JAN-16	30024	55109	MERCHANT		11				893	Standard	3	8	0	4	4	4	11	1	7	5
104-3495089-0341017	663035566	72176051	B00R1QP3QW	28-MAY-15	29-MAY-15	01-JUN-15	05/28/2015	05/29/2015	6	5	22	05	N	Apparel	193	24.99	08-JUN-15	33028	47905	MERCHANT		.09999999991614	4.49999999541	2.199999997756	4.799999995104	1063	Standard	2	7	1	5	3	4	11	3	7	5
108-1473671-8891444	1632780961	7528559705	B01BX5H0XU	13-APR-16	14-APR-16	19-APR-16	04/13/2016	04/14/2016	5	4	15	04	N	Apparel	193	15	22-APR-16	40258	07073	MERCHANT		1				654	Standard	4	7	2	5	3	6	9	4	7	5
108-8562952-7865860	6871570115	11877925915	B0083QBXOU	16-APR-15	17-APR-15	21-APR-15	04/16/2015	04/17/2015	6	5	16	04	N	Major Appliances	265	111.21	24-APR-15	60108	40769	MERCHANT						418	Standard	3	6	2	5	3	5	8	4	7	5
108-4439724-5088218	11969431	179910097	B004D0T2CK	04-MAY-15	05-MAY-15	07-MAY-15	05/04/2015	05/05/2015	3	2	19	05	N	Grocery	325	76	07-MAY-15	53212	40068	MERCHANT						352	SecondDay	3	3	2	2	2	3	3	2	2	2
002-5063619-3300232	641020546	20775246305	B002BA51WE	18-DEC-15	21-DEC-15	22-DEC-15	12/18/2015	12/21/2015	2	6	52	12	N	Toys	21	19.99	31-DEC-15	11205	07008	MERCHANT		2.6	9.49999999031	9.49999999031	14.9999999847	16	Standard	2	9	1	5	1	4	13	1	8	3
